POS,BIB,ATHLETE,COUNTRY,MARK,RxnTime,Race,Round,Gender,Year
6,,Shingo†SUETSUGU,JPNJPN,20.93,0.185,200 m,Heats,M,2008
7,,Omar Jouma Bilal†AL-SALFA,UAEUAE,21,0.184,200 m,Heats,M,2008
,,Alexander†NELSON,GBRGBR,DNS,,200 m,Heats,M,2008
1,,Aaron†ARMSTRONG,TTOTTO,20.57 Q,0.183,200 m,Heats,M,2008
2,,Brendan†CHRISTIAN,ANTANT,20.58 Q,0.164,200 m,Heats,M,2008
3,,Jared†CONNAUGHTON,CANCAN,20.60 Q,0.146,200 m,Heats,M,2008
4,,Visa†HONGISTO,FINFIN,20.62 q,0.145,200 m,Heats,M,2008
5,,Marco†CRIBARI,SUISUI,20.98,0.171,200 m,Heats,M,2008
6,,James†DOLPHIN,NZLNZL,20.98,0.161,200 m,Heats,M,2008
7,,Peimeng†ZHANG,CHNCHN,21.06,0.15,200 m,Heats,M,2008
,,Samuel†FRANCIS,QATQAT,DQ,,200 m,Heats,M,2008
1,,Usain†BOLT,JAMJAM,20.29 Q,0.186,200 m,Quarter,M,2008
2,,Shawn†CRAWFORD,USAUSA,20.42 Q,0.198,200 m,Quarter,M,2008
3,,Kim†COLLINS,SKNSKN,20.43 Q,0.233,200 m,Quarter,M,2008
4,,Marlon†DEVONISH,GBRGBR,20.43 q,0.146,200 m,Quarter,M,2008
5,,Jared†CONNAUGHTON,CANCAN,20.45 q,0.151,200 m,Quarter,M,2008
6,,Amr Ibrahim Mostafa†SEOUD,EGYEGY,20.55,0.182,200 m,Quarter,M,2008
7,,Rolando†PALACIOS,HONHON,20.87,0.248,200 m,Quarter,M,2008
8,,¡ngel David†RODRÕGUEZ,ESPESP,20.96,0.172,200 m,Quarter,M,2008
1,,Brian†DZINGAI,ZIMZIM,20.23 Q,0.182,200 m,Quarter,M,2008
2,,Walter†DIX,USAUSA,20.27 Q,0.162,200 m,Quarter,M,2008
3,,Christopher†WILLIAMS,JAMJAM,20.28 Q,0.159,200 m,Quarter,M,2008
4,,Christian†MALCOLM,GBRGBR,20.30 q,0.188,200 m,Quarter,M,2008
5,,StÈphane†BUCKLAND,MRIMRI,20.37 q,0.188,200 m,Quarter,M,2008
6,,Roman†SMIRNOV,RUSRUS,20.62,0.161,200 m,Quarter,M,2008
7,,Shinji†TAKAHIRA,JPNJPN,20.63,0.185,200 m,Quarter,M,2008
8,,Matic†OSOVNIKAR,SLOSLO,20.95,0.171,200 m,Quarter,M,2008
1,,Brendan†CHRISTIAN,ANTANT,20.26 Q,0.166,200 m,Quarter,M,2008
2,,Churandy†MARTINA,AHOAHO,20.42 Q,0.175,200 m,Quarter,M,2008
3,,Kristof†BEYENS,BELBEL,20.50 Q,0.155,200 m,Quarter,M,2008
4,,Marcin†JEDRUSINSKI,POLPOL,20.58,0.199,200 m,Quarter,M,2008
5,,Aaron†ARMSTRONG,TTOTTO,20.58,0.155,200 m,Quarter,M,2008
6,,Obinna†METU,NGRNGR,20.65,0.195,200 m,Quarter,M,2008
7,,Sandro†VIANA,BRABRA,21.07,0.168,200 m,Quarter,M,2008
8,,Marc†SCHNEEBERGER,SUISUI,21.48,0.156,200 m,Quarter,M,2008
1,,Paul†HESSION,IRLIRL,20.32 Q,0.19,200 m,Quarter,M,2008
2,,Wallace†SPEARMON,USAUSA,20.39 Q,0.202,200 m,Quarter,M,2008
3,,Jaysuma†SAIDY NDURE,NORNOR,20.45 Q,0.131,200 m,Quarter,M,2008
4,,Rondel†SORRILLO,TTOTTO,20.63,0.164,200 m,Quarter,M,2008
5,,Ramil†GULIYEV,AZEAZE,20.66,0.174,200 m,Quarter,M,2008
6,,Visa†HONGISTO,FINFIN,20.76,0.124,200 m,Quarter,M,2008
7,,Thuso†MPUANG,RSARSA,21.04,0.162,200 m,Quarter,M,2008
,,Marvin†ANDERSON,JAMJAM,DNF,0.187,200 m,Quarter,M,2008
1,,Churandy†MARTINA,AHOAHO,20.11 Q,0.154,200 m,Semi,M,2008
2,,Brian†DZINGAI,ZIMZIM,20.17 Q,0.184,200 m,Semi,M,2008
3,,Walter†DIX,USAUSA,20.19 Q,0.161,200 m,Semi,M,2008
4,,Christian†MALCOLM,GBRGBR,20.25 Q,0.181,200 m,Semi,M,2008
5,,Paul†HESSION,IRLIRL,20.38,0.175,200 m,Semi,M,2008
6,,Christopher†WILLIAMS,JAMJAM,20.45,0.217,200 m,Semi,M,2008
7,,Jared†CONNAUGHTON,CANCAN,20.58,0.146,200 m,Semi,M,2008
8,,Kristof†BEYENS,BELBEL,20.69,0.211,200 m,Semi,M,2008
1,,Usain†BOLT,JAMJAM,20.09 Q,0.175,200 m,Semi,M,2008
2,,Shawn†CRAWFORD,USAUSA,20.12 Q,0.173,200 m,Semi,M,2008
3,,Wallace†SPEARMON,USAUSA,20.14 Q,0.196,200 m,Semi,M,2008
4,,Kim†COLLINS,SKNSKN,20.25 Q,0.191,200 m,Semi,M,2008
5,,Brendan†CHRISTIAN,ANTANT,20.29,0.135,200 m,Semi,M,2008
6,,StÈphane†BUCKLAND,MRIMRI,20.48,0.141,200 m,Semi,M,2008
7,,Marlon†DEVONISH,GBRGBR,20.57,0.158,200 m,Semi,M,2008
,,Jaysuma†SAIDY NDURE,NORNOR,DNS,,200 m,Semi,M,2008
1,,Usain†BOLT,JAMJAM,19.3,0.182,200 m,Final,M,2008
2,,Shawn†CRAWFORD,USAUSA,19.96,0.21,200 m,Final,M,2008
3,,Walter†DIX,USAUSA,19.98,0.151,200 m,Final,M,2008
4,,Brian†DZINGAI,ZIMZIM,20.22,0.185,200 m,Final,M,2008
5,,Christian†MALCOLM,GBRGBR,20.4,0.212,200 m,Final,M,2008
6,,Kim†COLLINS,SKNSKN,20.59,0.165,200 m,Final,M,2008
,,Churandy†MARTINA,AHOAHO,DQ,0.144,200 m,Final,M,2008
,,Wallace†SPEARMON,USAUSA,DQ,0.167,200 m,Final,M,2008
1,,Dayron†ROBLES,CUBCUB,13.39 Q,0.18,110 m H,Heats,M,2008
2,,Andrew†TURNER,GBRGBR,13.56 Q,0.151,110 m H,Heats,M,2008
3,,Wei†JI,CHNCHN,13.57 Q,0.186,110 m H,Heats,M,2008
4,,Richard†PHILLIPS,JAMJAM,13.60 Q,0.16,110 m H,Heats,M,2008
5,,Evgeniy†BORISOV,RUSRUS,13.9,0.187,110 m H,Heats,M,2008
6,,Oleg†NORMATOV,UZBUZB,14,0.177,110 m H,Heats,M,2008
7,,Jurica†GRABUäIC,CROCRO,14.18,0.207,110 m H,Heats,M,2008
1,,David†OLIVER,USAUSA,13.30 Q,0.167,110 m H,Heats,M,2008
2,,Jackson†QUI—”NEZ,ESPESP,13.41 Q,0.179,110 m H,Heats,M,2008
3,,Shamar†SANDS,BAHBAH,13.45 Q,0.167,110 m H,Heats,M,2008
4,,Gregory†SEDOC,NEDNED,13.50 Q,0.155,110 m H,Heats,M,2008
5,,Jung-joon†LEE,KORKOR,13.65 q,0.128,110 m H,Heats,M,2008
6,,Mikel†THOMAS,TTOTTO,13.69 q,0.159,110 m H,Heats,M,2008
7,,Damjan†ZLATNAR,SLOSLO,13.84 q,0.124,110 m H,Heats,M,2008
1,,Paulo†VILLAR,COLCOL,13.37 Q,0.144,110 m H,Heats,M,2008
2,,Ryan†BRATHWAITE,BARBAR,13.38 Q,0.156,110 m H,Heats,M,2008
3,,Petr†SVOBODA,CZECZE,13.43 Q,0.153,110 m H,Heats,M,2008
4,,Dongpeng†SHI,CHNCHN,13.53 Q,0.203,110 m H,Heats,M,2008
5,,Ronald†FORBES,CAYCAY,13.59 q,0.17,110 m H,Heats,M,2008
6,,HÈctor†COTTO,PURPUR,13.72 q,0.14,110 m H,Heats,M,2008
7,,Dudley†DORIVAL,HAIHAI,13.78 q,0.165,110 m H,Heats,M,2008
8,,Abdul†RASHID,PAKPAK,14.52,0.172,110 m H,Heats,M,2008
1,,David†PAYNE,USAUSA,13.42 Q,0.152,110 m H,Heats,M,2008
2,,Ladji†DOUCOUR…,FRAFRA,13.52 Q,0.155,110 m H,Heats,M,2008
3,,Selim†NURUDEEN,NGRNGR,13.58 Q,0.174,110 m H,Heats,M,2008
4,,Maurice†WIGNALL,JAMJAM,13.61 Q,0.174,110 m H,Heats,M,2008
5,,Maksim†LYNSHA,BLRBLR,13.86,0.196,110 m H,Heats,M,2008
6,,Stanislav†SAJDOK,CZECZE,13.89,0.163,110 m H,Heats,M,2008
7,,Masato†NAITO,JPNJPN,13.96,0.168,110 m H,Heats,M,2008
1,,Artur†NOGA,POLPOL,13.53 Q,0.175,110 m H,Heats,M,2008
2,,Igor†PEREMOTA,RUSRUS,13.59 Q,0.142,110 m H,Heats,M,2008
3,,D·niel†KISS,HUNHUN,13.61 Q,0.153,110 m H,Heats,M,2008
4,,Anselmo†DA SILVA,BRABRA,13.81 Q,0.137,110 m H,Heats,M,2008
5,,Joseph-Berlioz†RANDRIAMIHAJA,MADMAD,13.91,0.174,110 m H,Heats,M,2008
,,Terrence†TRAMMELL,USAUSA,DNF,0.242,110 m H,Heats,M,2008
,,Stanislavs†OLIJARS,LATLAT,DNS,,110 m H,Heats,M,2008
1,,KonstadÌnos†DOUVALÕDIS,GREGRE,13.49 Q,0.149,110 m H,Heats,M,2008
2,,Marcel†VAN DER WESTEN,NEDNED,13.54 Q,0.162,110 m H,Heats,M,2008
3,,Allan†SCOTT,GBRGBR,13.56 Q,0.146,110 m H,Heats,M,2008
4,,Samuel†COCO-VILOIN,FRAFRA,13.60 Q,0.176,110 m H,Heats,M,2008
5,,Mohamed Issa†AL-THAWADI,QATQAT,13.64 q,0.127,110 m H,Heats,M,2008
6,,David†ILARIANI,GEOGEO,13.75 q,0.155,110 m H,Heats,M,2008
,,Xiang†LIU,CHNCHN,DNF,,110 m H,Heats,M,2008
1,,David†PAYNE,USAUSA,13.24 Q,0.158,110 m H,Quarter,M,2008
2,,Petr†SVOBODA,CZECZE,13.41 Q,0.175,110 m H,Quarter,M,2008
3,,Dongpeng†SHI,CHNCHN,13.42 Q,0.148,110 m H,Quarter,M,2008
4,,KonstadÌnos†DOUVALÕDIS,GREGRE,13.46 q,0.159,110 m H,Quarter,M,2008
5,,Richard†PHILLIPS,JAMJAM,13.48 q,0.136,110 m H,Quarter,M,2008
6,,Mikel†THOMAS,TTOTTO,13.62,0.156,110 m H,Quarter,M,2008
7,,Igor†PEREMOTA,RUSRUS,13.7,0.143,110 m H,Quarter,M,2008
8,,HÈctor†COTTO,PURPUR,13.73,0.152,110 m H,Quarter,M,2008
1,,Dayron†ROBLES,CUBCUB,13.19 Q,0.167,110 m H,Quarter,M,2008
2,,Artur†NOGA,POLPOL,13.36 Q,0.161,110 m H,Quarter,M,2008
3,,Gregory†SEDOC,NEDNED,13.43 Q,0.153,110 m H,Quarter,M,2008
4,,Samuel†COCO-VILOIN,FRAFRA,13.51 q,0.188,110 m H,Quarter,M,2008
5,,Andrew†TURNER,GBRGBR,13.53,0.147,110 m H,Quarter,M,2008
6,,Jung-joon†LEE,KORKOR,13.55,0.138,110 m H,Quarter,M,2008
7,,Shamar†SANDS,BAHBAH,13.55,0.227,110 m H,Quarter,M,2008
8,,David†ILARIANI,GEOGEO,13.74,0.149,110 m H,Quarter,M,2008
1,,Maurice†WIGNALL,JAMJAM,13.36 Q,0.173,110 m H,Quarter,M,2008
2,,Ryan†BRATHWAITE,BARBAR,13.44 Q,0.162,110 m H,Quarter,M,2008
3,,Paulo†VILLAR,COLCOL,13.46 Q,0.153,110 m H,Quarter,M,2008
4,,Marcel†VAN DER WESTEN,NEDNED,13.48 q,0.149,110 m H,Quarter,M,2008
5,,D·niel†KISS,HUNHUN,13.63,0.159,110 m H,Quarter,M,2008
6,,Allan†SCOTT,GBRGBR,13.66,0.121,110 m H,Quarter,M,2008
7,,Dudley†DORIVAL,HAIHAI,13.71,0.142,110 m H,Quarter,M,2008
,,Mohamed Issa†AL-THAWADI,QATQAT,DQ,,110 m H,Quarter,M,2008
1,,David†OLIVER,USAUSA,13.16 Q,0.156,110 m H,Quarter,M,2008
2,,Ladji†DOUCOUR…,FRAFRA,13.39 Q,0.19,110 m H,Quarter,M,2008
3,,Jackson†QUI—”NEZ,ESPESP,13.47 Q,0.167,110 m H,Quarter,M,2008
4,,Selim†NURUDEEN,NGRNGR,13.66,0.194,110 m H,Quarter,M,2008
5,,Ronald†FORBES,CAYCAY,13.72,0.175,110 m H,Quarter,M,2008
6,,Wei†JI,CHNCHN,13.8,0.173,110 m H,Quarter,M,2008
7,,Anselmo†DA SILVA,BRABRA,13.84,0.154,110 m H,Quarter,M,2008
,,Damjan†ZLATNAR,SLOSLO,DNS,,110 m H,Quarter,M,2008
1,,Dayron†ROBLES,CUBCUB,13.12 Q,0.221,110 m H,Semi,M,2008
2,,David†PAYNE,USAUSA,13.21 Q,0.177,110 m H,Semi,M,2008
3,,Ladji†DOUCOUR…,FRAFRA,13.22 Q,0.183,110 m H,Semi,M,2008
4,,Richard†PHILLIPS,JAMJAM,13.43 Q,0.153,110 m H,Semi,M,2008
5,,KonstadÌnos†DOUVALÕDIS,GREGRE,13.55,0.157,110 m H,Semi,M,2008
6,,Gregory†SEDOC,NEDNED,13.6,0.162,110 m H,Semi,M,2008
7,,Petr†SVOBODA,CZECZE,13.6,0.182,110 m H,Semi,M,2008
8,,Paulo†VILLAR,COLCOL,13.85,0.153,110 m H,Semi,M,2008
1,,David†OLIVER,USAUSA,13.31 Q,0.169,110 m H,Semi,M,2008
2,,Artur†NOGA,POLPOL,13.34 Q,0.181,110 m H,Semi,M,2008
3,,Jackson†QUI—”NEZ,ESPESP,13.40 Q,0.173,110 m H,Semi,M,2008
4,,Maurice†WIGNALL,JAMJAM,13.40 Q,0.141,110 m H,Semi,M,2008
5,,Dongpeng†SHI,CHNCHN,13.42,0.141,110 m H,Semi,M,2008
6,,Marcel†VAN DER WESTEN,NEDNED,13.45,0.124,110 m H,Semi,M,2008
7,,Ryan†BRATHWAITE,BARBAR,13.59,0.147,110 m H,Semi,M,2008
8,,Samuel†COCO-VILOIN,FRAFRA,13.65,0.187,110 m H,Semi,M,2008
1,,Dayron†ROBLES,CUBCUB,12.93,0.183,110 m H,Final,M,2008
2,,David†PAYNE,USAUSA,13.17,0.175,110 m H,Final,M,2008
3,,David†OLIVER,USAUSA,13.18,0.158,110 m H,Final,M,2008
4,,Ladji†DOUCOUR…,FRAFRA,13.24,0.17,110 m H,Final,M,2008
5,,Artur†NOGA,POLPOL,13.36,0.169,110 m H,Final,M,2008
6,,Maurice†WIGNALL,JAMJAM,13.46,0.163,110 m H,Final,M,2008
7,,Richard†PHILLIPS,JAMJAM,13.6,0.154,110 m H,Final,M,2008
8,,Jackson†QUI—”NEZ,ESPESP,13.69,0.187,110 m H,Final,M,2008
1,,Allyson†FELIX,USAUSA,23.02 Q,0.189,200 m,Heats,F,2008
2,,Susanthika†JAYASINGHE,SRISRI,23.04 Q,0.235,200 m,Heats,F,2008
3,,Virgil†HODGE,SKNSKN,23.14 Q,0.226,200 m,Heats,F,2008
4,,Aleksandra†FEDORIVA - SHPAER,RUSRUS,23.29 Q,0.206,200 m,Heats,F,2008
5,,Inna†EFTIMOVA,BULBUL,23.50 q,0.197,200 m,Heats,F,2008
6,,Kia†DAVIS,LBRLBR,24.31,0.217,200 m,Heats,F,2008
7,,Kirsten†NIEUWENDAM,SURSUR,24.46,0.19,200 m,Heats,F,2008
,,Vida†ANIM,GHAGHA,DNS,,200 m,Heats,F,2008
1,,Muna†LEE,USAUSA,22.71 Q,0.174,200 m,Heats,F,2008
2,,Muriel†HURTIS,FRAFRA,22.72 Q,0.21,200 m,Heats,F,2008
3,,Cydonie†MOTHERSILLE,CAYCAY,22.76 Q,0.222,200 m,Heats,F,2008
4,,Ivet†LALOVA-COLLIO,BULBUL,23.13 q,0.207,200 m,Heats,F,2008
5,,Mariely†S¡NCHEZ,DOMDOM,24.05,0.265,200 m,Heats,F,2008
6,,Carol†RODRÕGUEZ,PURPUR,24.07,0.195,200 m,Heats,F,2008
,,Yuliya†CHERMOSHANSKAYA,RUSRUS,DQ,0.204,200 m,Heats,F,2008
,,Kim†GEVAERT,BELBEL,DNS,,200 m,Heats,F,2008
1,,Marshevet†MYERS,USAUSA,23.07 Q,0.196,200 m,Heats,F,2008
2,,Debbie†FERGUSON-MCKENZIE,BAHBAH,23.22 Q,0.174,200 m,Heats,F,2008
3,,Oludamola†OSAYOMI,NGRNGR,23.31 Q,0.192,200 m,Heats,F,2008
4,,Eleni†ARTYMATA,CYPCYP,23.58 Q,0.2,200 m,Heats,F,2008
5,,Sabina†VEIT,SLOSLO,23.62,0.213,200 m,Heats,F,2008
6,,Gloria†UBIEBOR,NGRNGR,23.72,0.216,200 m,Heats,F,2008
7,,Meritzer†WILLIAMS,SKNSKN,23.83,0.225,200 m,Heats,F,2008
8,,Fabienne†F…RAEZ,BENBEN,24.07,0.25,200 m,Heats,F,2008
1,,Rakia†AL-GASSRA,BRNBRN,22.81 Q,0.276,200 m,Heats,F,2008
2,,Emily†FREEMAN,GBRGBR,22.95 Q,0.2,200 m,Heats,F,2008
3,,Kerron†STEWART,JAMJAM,23.03 Q,0.269,200 m,Heats,F,2008
4,,Ionela†T¬RLEA,ROUROU,23.24 Q,0.187,200 m,Heats,F,2008
5,,Darlenis†OBREG”N,COLCOL,23.33 q,0.22,200 m,Heats,F,2008
6,,Guzel†KHUBBIEVA,UZBUZB,23.44 q,0.154,200 m,Heats,F,2008
7,,Jade†BAILEY,BARBAR,23.62,0.22,200 m,Heats,F,2008
8,,Lai Lai†WIN,MYAMYA,24.37,0.195,200 m,Heats,F,2008
1,,Veronica†CAMPBELL-BROWN,JAMJAM,23.04 Q,0.209,200 m,Heats,F,2008
2,,Kadiatou†CAMARA,MLIMLI,23.06 Q,0.245,200 m,Heats,F,2008
3,,Natalia†RUSAKOVA,RUSRUS,23.21 Q,0.205,200 m,Heats,F,2008
4,,Sheniqua†FERGUSON,BAHBAH,23.33 Q,0.188,200 m,Heats,F,2008
5,,Adrienne†POWER,CANCAN,23.40 q,0.168,200 m,Heats,F,2008
6,,Vincenza†CALÃ,ITAITA,23.44 q,0.21,200 m,Heats,F,2008
7,,Isabel†LE ROUX,RSARSA,23.67,0.201,200 m,Heats,F,2008
8,,Samia Yusuf†OMAR,SOMSOM,32.16,,200 m,Heats,F,2008
1,,Nataliia†PYGYDA,UKRUKR,22.91 Q,0.18,200 m,Heats,F,2008
2,,Sherone†SIMPSON,JAMJAM,22.94 Q,0.193,200 m,Heats,F,2008
3,,Roxana†DÕAZ,CUBCUB,23.09 Q,0.182,200 m,Heats,F,2008
4,,LaVerne†JONES-FERRETTE,ISVISV,23.12 Q,0.178,200 m,Heats,F,2008
5,,Evelyn†DOS SANTOS,BRABRA,23.43 q,0.211,200 m,Heats,F,2008
6,,Allison†GEORGE,GRNGRN,23.45 q,0.235,200 m,Heats,F,2008
7,,Marta†JESCHKE,POLPOL,23.59,0.18,200 m,Heats,F,2008
8,,Gretta†TASLAKIAN,LBNLBN,25.32,0.208,200 m,Heats,F,2008
1,,Veronica†CAMPBELL-BROWN,JAMJAM,22.64 Q,0.168,200 m,Quarter,F,2008
2,,Allyson†FELIX,USAUSA,22.74 Q,0.199,200 m,Quarter,F,2008
3,,Debbie†FERGUSON-MCKENZIE,BAHBAH,22.77 Q,0.166,200 m,Quarter,F,2008
4,,Cydonie†MOTHERSILLE,CAYCAY,22.83 q,0.233,200 m,Quarter,F,2008
5,,Ionela†T¬RLEA,ROUROU,23.22,0.214,200 m,Quarter,F,2008
6,,Evelyn†DOS SANTOS,BRABRA,23.35,0.203,200 m,Quarter,F,2008
7,,LaVerne†JONES-FERRETTE,ISVISV,23.37,0.186,200 m,Quarter,F,2008
,,Guzel†KHUBBIEVA,UZBUZB,DNS,,200 m,Quarter,F,2008
1,,Rakia†AL-GASSRA,BRNBRN,22.76 Q,0.246,200 m,Quarter,F,2008
2,,Muriel†HURTIS,FRAFRA,22.89 Q,0.179,200 m,Quarter,F,2008
3,,Susanthika†JAYASINGHE,SRISRI,22.94 Q,0.256,200 m,Quarter,F,2008
4,,Roxana†DÕAZ,CUBCUB,22.98 q,0.18,200 m,Quarter,F,2008
5,,Aleksandra†FEDORIVA - SHPAER,RUSRUS,23.04 q,0.244,200 m,Quarter,F,2008
6,,Oludamola†OSAYOMI,NGRNGR,23.27,0.195,200 m,Quarter,F,2008
7,,Darlenis†OBREG”N,COLCOL,23.4,0.167,200 m,Quarter,F,2008
8,,Inna†EFTIMOVA,BULBUL,23.48,0.188,200 m,Quarter,F,2008
1,,Kerron†STEWART,JAMJAM,22.74 Q,0.212,200 m,Quarter,F,2008
2,,Marshevet†MYERS,USAUSA,22.76 Q,0.198,200 m,Quarter,F,2008
3,,Nataliia†PYGYDA,UKRUKR,23.03 q,0.172,200 m,Quarter,F,2008
4,,Kadiatou†CAMARA,MLIMLI,23.06,0.213,200 m,Quarter,F,2008
5,,Adrienne†POWER,CANCAN,23.51,0.156,200 m,Quarter,F,2008
6,,Vincenza†CALÃ,ITAITA,23.56,0.204,200 m,Quarter,F,2008
7,,Sheniqua†FERGUSON,BAHBAH,23.61,0.199,200 m,Quarter,F,2008
,,Yuliya†CHERMOSHANSKAYA,RUSRUS,DQ,0.193,200 m,Quarter,F,2008
1,,Sherone†SIMPSON,JAMJAM,22.60 Q,0.176,200 m,Quarter,F,2008
2,,Muna†LEE,USAUSA,22.83 Q,0.246,200 m,Quarter,F,2008
3,,Emily†FREEMAN,GBRGBR,22.95 Q,0.187,200 m,Quarter,F,2008
4,,Ivet†LALOVA-COLLIO,BULBUL,23.15,0.169,200 m,Quarter,F,2008
5,,Virgil†HODGE,SKNSKN,23.17,0.223,200 m,Quarter,F,2008
6,,Natalia†RUSAKOVA,RUSRUS,23.28,0.22,200 m,Quarter,F,2008
7,,Eleni†ARTYMATA,CYPCYP,23.77,0.185,200 m,Quarter,F,2008
8,,Allison†GEORGE,GRNGRN,23.77,0.305,200 m,Quarter,F,2008
1,,Veronica†CAMPBELL-BROWN,JAMJAM,22.19 Q,0.187,200 m,Semi,F,2008
2,,Kerron†STEWART,JAMJAM,22.29 Q,0.217,200 m,Semi,F,2008
3,,Muna†LEE,USAUSA,22.29 Q,0.186,200 m,Semi,F,2008
4,,Debbie†FERGUSON-MCKENZIE,BAHBAH,22.51 Q,0.165,200 m,Semi,F,2008
5,,Nataliia†PYGYDA,UKRUKR,22.95,0.16,200 m,Semi,F,2008
6,,Susanthika†JAYASINGHE,SRISRI,22.98,0.245,200 m,Semi,F,2008
7,,Roxana†DÕAZ,CUBCUB,23.12,0.177,200 m,Semi,F,2008
,,Yuliya†CHERMOSHANSKAYA,RUSRUS,DQ,0.204,200 m,Semi,F,2008
1,,Allyson†FELIX,USAUSA,22.33 Q,0.181,200 m,Semi,F,2008
2,,Marshevet†MYERS,USAUSA,22.50 Q,0.196,200 m,Semi,F,2008
3,,Sherone†SIMPSON,JAMJAM,22.50 Q,0.175,200 m,Semi,F,2008
4,,Cydonie†MOTHERSILLE,CAYCAY,22.61 Q,0.212,200 m,Semi,F,2008
5,,Muriel†HURTIS,FRAFRA,22.71,0.188,200 m,Semi,F,2008
6,,Rakia†AL-GASSRA,BRNBRN,22.72,0.259,200 m,Semi,F,2008
7,,Emily†FREEMAN,GBRGBR,22.83,0.201,200 m,Semi,F,2008
8,,Aleksandra†FEDORIVA - SHPAER,RUSRUS,23.22,0.202,200 m,Semi,F,2008
1,,Veronica†CAMPBELL-BROWN,JAMJAM,21.74,0.172,200 m,Final,F,2008
2,,Allyson†FELIX,USAUSA,21.93,0.193,200 m,Final,F,2008
3,,Kerron†STEWART,JAMJAM,22,0.199,200 m,Final,F,2008
4,,Muna†LEE,USAUSA,22.01,0.176,200 m,Final,F,2008
5,,Marshevet†MYERS,USAUSA,22.34,0.2,200 m,Final,F,2008
6,,Sherone†SIMPSON,JAMJAM,22.36,0.167,200 m,Final,F,2008
7,,Debbie†FERGUSON-MCKENZIE,BAHBAH,22.61,0.175,200 m,Final,F,2008
8,,Cydonie†MOTHERSILLE,CAYCAY,22.68,0.206,200 m,Final,F,2008
1,,Leonel†SU¡REZ,CUBCUB,10.9,0.149,100 m,Decathlon,M,2008
2,,AndrÈ†NIKLAUS,GERGER,11.12,0.147,100 m,Decathlon,M,2008
3,,Mikk†PAHAPILL,ESTEST,11.15,0.153,100 m,Decathlon,M,2008
4,,Mikko†HALVARI,FINFIN,11.18,0.167,100 m,Decathlon,M,2008
5,,Roman†äEBRLE,CZECZE,11.21,0.15,100 m,Decathlon,M,2008
6,,Damjan†SITAR,SLOSLO,11.21,0.158,100 m,Decathlon,M,2008
7,,Janis†KARLIVANS,LATLAT,11.36,0.153,100 m,Decathlon,M,2008
,,Aleksandr†POGORELOV,RUSRUS,DQ,0.159,100 m,Decathlon,M,2008
1,,Yordani†GARCÕA,CUBCUB,10.64,0.144,100 m,Decathlon,M,2008
2,,Maurice†SMITH,JAMJAM,10.85,0.148,100 m,Decathlon,M,2008
3,,Andres†RAJA,ESTEST,10.89,0.145,100 m,Decathlon,M,2008
4,,Andrei†KRAUCHANKA,BLRBLR,10.96,0.174,100 m,Decathlon,M,2008
5,,Carlos†CHININ,BRABRA,10.99,0.176,100 m,Decathlon,M,2008
6,,Alexey†SYSOEV,RUSRUS,11.03,0.156,100 m,Decathlon,M,2008
7,,Daniel†AWDE,GBRGBR,11.06,0.145,100 m,Decathlon,M,2008
8,,Tom†PAPPAS,USAUSA,11.12,0.191,100 m,Decathlon,M,2008
1,,Bryan†CLAY,USAUSA,10.44,0.136,100 m,Decathlon,M,2008
2,,Trey†HARDEE,USAUSA,10.52,0.144,100 m,Decathlon,M,2008
3,,Oleksiy†KASYANOV,UKRUKR,10.53,0.157,100 m,Decathlon,M,2008
4,,Jangy†ADDY,LBRLBR,10.76,0.187,100 m,Decathlon,M,2008
5,,Michael†SCHRADER,GERGER,10.8,0.186,100 m,Decathlon,M,2008
6,,Arthur†ABELE,GERGER,10.9,0.136,100 m,Decathlon,M,2008
7,,Massimo†BERTOCCHI,CANCAN,11,0.181,100 m,Decathlon,M,2008
8,,Dmitriy†KARPOV,KAZKAZ,11.83,0.128,100 m,Decathlon,M,2008
1,,David†G”MEZ,ESPESP,11.12,0.137,100 m,Decathlon,M,2008
2,,Haifeng†QI,CHNCHN,11.15,0.177,100 m,Decathlon,M,2008
3,,Eugene†MARTINEAU,NEDNED,11.19,0.129,100 m,Decathlon,M,2008
4,,Hans†VAN ALPHEN,BELBEL,11.28,0.171,100 m,Decathlon,M,2008
5,,Aliaksandr†PARKHOMENKA,BLRBLR,11.29,0.194,100 m,Decathlon,M,2008
6,,Gonzalo†BARROILHET,CHICHI,11.33,0.169,100 m,Decathlon,M,2008
7,,Pavel†ANDREEV,UZBUZB,11.47,0.145,100 m,Decathlon,M,2008
8,,Vitaliy†SMIRNOV,UZBUZB,11.56,0.145,100 m,Decathlon,M,2008
1,,Hadi†SEPEHRZAD,IRIIRI,10.92,0.157,100 m,Decathlon,M,2008
2,,Aleksey†DROZDOV,RUSRUS,11.02,0.119,100 m,Decathlon,M,2008
3,,Slaven†DIZDAREVIC,SVKSVK,11.16,0.175,100 m,Decathlon,M,2008
4,,Romain†BARRAS,FRAFRA,11.26,0.17,100 m,Decathlon,M,2008
5,,Mikalai†SHUBIANOK,BLRBLR,11.31,0.15,100 m,Decathlon,M,2008
6,,FrÈdÈric†XHONNEUX,BELBEL,11.41,0.133,100 m,Decathlon,M,2008
7,,Attila†ZSIV”CZKY-PANDEL,HUNHUN,11.86,0.179,100 m,Decathlon,M,2008
8,,Victor†COVALENCO,MDAMDA,11.87,0.154,100 m,Decathlon,M,2008
